Function,n,budget,runs,mean,std,min,max,note
F1,100,100000,10,817.8725142222236,0.0,817.8725142222236,817.8725142222236,
F2,100,100000,10,817.8725142222236,0.0,817.8725142222236,817.8725142222236,
F3,100,100000,10,862.9603999350036,0.0,862.9603999350036,862.9603999350036,
F18,100,100000,10,823.5084999363211,0.0,823.5084999363211,823.5084999363211,
F4 (sub for F23),100,100000,10,804.3461485083897,1.198364490607514e-13,804.3461485083895,804.3461485083895,F23 unavailable on this IOH build; used F4
F24,400,100000,10,-411.0737703505465,0.1357430175502839,-411.3313246177004,-411.00938178375804,
F25,400,100000,10,-413.08736413100644,0.0,-413.08736413100644,-413.08736413100644,
