evaluations raw_y evaporation_rate
1 -1284.0000000000 0.1000000000
3 -1128.0000000000 0.1000000000
7 -1118.0000000000 0.1000000000
15 -1089.0000000000 0.1000000000
17 -1021.0000000000 0.1000000000
22 -953.0000000000 0.1000000000
27 -710.0000000000 0.1000000000
44 -700.0000000000 0.1000000000
46 -671.0000000000 0.1000000000
58 -632.0000000000 0.1000000000
105 -593.0000000000 0.1000000000
112 -554.0000000000 0.1000000000
121 -515.0000000000 0.1000000000
149 -486.0000000000 0.1000000000
183 -447.0000000000 0.1000000000
216 -408.0000000000 0.1000000000
251 -379.0000000000 0.1000000000
265 -360.0000000000 0.1000000000
285 -331.0000000000 0.1000000000
369 -312.0000000000 0.1000000000
414 -273.0000000000 0.1000000000
442 -244.0000000000 0.1000000000
497 -205.0000000000 0.1000000000
673 -176.0000000000 0.1000000000
729 -157.0000000000 0.1000000000
786 -99.0000000000 0.1000000000
855 -70.0000000000 0.1000000000
928 -51.0000000000 0.1000000000
1033 -22.0000000000 0.1000000000
1050 -21.0000000000 0.1000000000
2097 -2.0000000000 0.1000000000
2199 7.0000000000 0.1000000000
100000 7.0000000000 0.1000000000
evaluations raw_y evaporation_rate
1 -1527.0000000000 0.1000000000
2 -1400.0000000000 0.1000000000
4 -1381.0000000000 0.1000000000
5 -1283.0000000000 0.1000000000
13 -1273.0000000000 0.1000000000
14 -1196.0000000000 0.1000000000
21 -1118.0000000000 0.1000000000
25 -1040.0000000000 0.1000000000
30 -981.0000000000 0.1000000000
31 -865.0000000000 0.1000000000
42 -787.0000000000 0.1000000000
75 -748.0000000000 0.1000000000
87 -709.0000000000 0.1000000000
135 -641.0000000000 0.1000000000
151 -602.0000000000 0.1000000000
160 -563.0000000000 0.1000000000
229 -544.0000000000 0.1000000000
233 -534.0000000000 0.1000000000
234 -505.0000000000 0.1000000000
251 -466.0000000000 0.1000000000
298 -447.0000000000 0.1000000000
334 -418.0000000000 0.1000000000
459 -379.0000000000 0.1000000000
524 -340.0000000000 0.1000000000
585 -330.0000000000 0.1000000000
590 -321.0000000000 0.1000000000
732 -292.0000000000 0.1000000000
800 -273.0000000000 0.1000000000
804 -253.0000000000 0.1000000000
807 -234.0000000000 0.1000000000
852 -205.0000000000 0.1000000000
890 -166.0000000000 0.1000000000
957 -157.0000000000 0.1000000000
1057 -118.0000000000 0.1000000000
1137 -79.0000000000 0.1000000000
1198 -60.0000000000 0.1000000000
1247 -51.0000000000 0.1000000000
1299 -42.0000000000 0.1000000000
1560 -41.0000000000 0.1000000000
1786 -32.0000000000 0.1000000000
2461 -13.0000000000 0.1000000000
2484 -4.0000000000 0.1000000000
2747 -3.0000000000 0.1000000000
